# started 2026-08-31 23:40:28
23:41:08 | limit=  5 | trial  17 | gates= 250 |   39.2s | overall 1/1000
23:49:45 | limit= 20 | trial  42 | gates= 240 |   41.3s | overall 340/1000
23:49:46 | limit= 20 | trial  40 | gates= 234 |   45.5s | overall 341/1000
23:49:47 | limit= 20 | trial  41 | gates= 234 |   44.0s | overall 342/1000
23:49:48 | limit= 20 | trial  43 | gates= 240 |   44.8s | overall 343/1000
23:49:49 | limit= 20 | trial  44 | gates= 234 |   44.6s | overall 344/1000
23:49:53 | limit= 20 | trial  45 | gates= 240 |   45.0s | overall 345/1000
23:49:53 | limit= 20 | trial  49 | gates= 236 |   41.6s | overall 346/1000
23:49:54 | limit= 20 | trial  50 | gates= 240 |   39.0s | overall 347/1000
23:49:55 | limit= 20 | trial  47 | gates= 238 |   44.6s | overall 348/1000
23:49:56 | limit= 20 | trial  46 | gates= 236 |   47.4s | overall 349/1000
23:49:56 | limit= 20 | trial  48 | gates= 236 |   45.1s | overall 350/1000
23:49:59 | limit= 20 | trial  54 | gates= 234 |   40.5s | overall 351/1000
23:49:59 | limit= 20 | trial  52 | gates= 238 |   42.8s | overall 352/1000
23:50:01 | limit= 20 | trial  51 | gates= 238 |   45.3s | overall 353/1000
23:50:01 | limit= 20 | trial  55 | gates= 242 |   42.1s | overall 354/1000
23:50:04 | limit= 20 | trial  53 | gates= 234 |   45.8s | overall 355/1000
23:50:05 | limit= 20 | trial  56 | gates= 240 |   42.1s | overall 356/1000
23:50:12 | limit= 20 | trial  58 | gates= 236 |   45.0s | overall 357/1000
23:50:13 | limit= 20 | trial  59 | gates= 234 |   44.5s | overall 358/1000
23:50:13 | limit= 20 | trial  62 | gates= 232 |   39.4s | overall 359/1000
23:50:14 | limit= 20 | trial  57 | gates= 238 |   47.6s | overall 360/1000
23:50:17 | limit= 20 | trial  65 | gates= 238 |   40.7s | overall 361/1000
23:50:17 | limit= 20 | trial  60 | gates= 232 |   47.5s | overall 362/1000
23:50:18 | limit= 20 | trial  63 | gates= 238 |   42.1s | overall 363/1000
23:50:18 | limit= 20 | trial  64 | gates= 236 |   41.7s | overall 364/1000
23:50:18 | limit= 20 | trial  61 | gates= 236 |   44.9s | overall 365/1000
23:50:24 | limit= 20 | trial  67 | gates= 238 |   41.8s | overall 366/1000
23:50:27 | limit= 20 | trial  69 | gates= 232 |   41.1s | overall 367/1000
23:50:28 | limit= 20 | trial  70 | gates= 240 |   41.4s | overall 368/1000
23:50:28 | limit= 20 | trial  66 | gates= 234 |   46.6s | overall 369/1000
23:50:28 | limit= 20 | trial  68 | gates= 240 |   43.8s | overall 370/1000
23:50:33 | limit= 20 | trial  72 | gates= 238 |   44.0s | overall 371/1000
23:50:34 | limit= 20 | trial  71 | gates= 238 |   45.5s | overall 372/1000
23:50:34 | limit= 20 | trial  74 | gates= 240 |   41.1s | overall 373/1000
23:50:35 | limit= 20 | trial  75 | gates= 236 |   41.0s | overall 374/1000
23:50:36 | limit= 20 | trial  76 | gates= 232 |   41.3s | overall 375/1000
23:50:40 | limit= 20 | trial  73 | gates= 238 |   47.1s | overall 376/1000
23:50:42 | limit= 20 | trial  80 | gates= 236 |   42.9s | overall 377/1000
23:50:43 | limit= 20 | trial  78 | gates= 236 |   46.7s | overall 378/1000
23:50:44 | limit= 20 | trial  77 | gates= 232 |   47.4s | overall 379/1000
23:50:44 | limit= 20 | trial  82 | gates= 234 |   43.0s | overall 380/1000
23:50:44 | limit= 20 | trial  79 | gates= 240 |   45.2s | overall 381/1000
23:50:48 | limit= 20 | trial  81 | gates= 238 |   47.5s | overall 382/1000
23:50:51 | limit= 20 | trial  84 | gates= 234 |   45.9s | overall 383/1000
23:50:51 | limit= 20 | trial  83 | gates= 234 |   47.5s | overall 384/1000
23:50:54 | limit= 20 | trial  85 | gates= 232 |   41.9s | overall 385/1000
23:50:56 | limit= 20 | trial  87 | gates= 240 |   43.3s | overall 386/1000
23:50:57 | limit= 20 | trial  86 | gates= 240 |   43.8s | overall 387/1000
23:50:59 | limit= 20 | trial  90 | gates= 238 |   41.1s | overall 388/1000
23:50:59 | limit= 20 | trial  91 | gates= 240 |   41.4s | overall 389/1000
23:51:00 | limit= 20 | trial  93 | gates= 240 |   41.5s | overall 390/1000
23:51:00 | limit= 20 | trial  88 | gates= 236 |   46.4s | overall 391/1000
23:51:01 | limit= 20 | trial  89 | gates= 236 |   44.0s | overall 392/1000
23:51:03 | limit= 20 | trial  92 | gates= 240 |   44.4s | overall 393/1000
23:51:06 | limit= 20 | trial  95 | gates= 236 |   39.4s | overall 394/1000
23:51:07 | limit= 20 | trial  94 | gates= 234 |   43.6s | overall 395/1000
23:51:09 | limit= 20 | trial  96 | gates= 228 |   41.0s | overall 396/1000
23:51:10 | limit= 20 | trial  98 | gates= 236 |   41.7s | overall 397/1000
23:51:13 | limit= 20 | trial  97 | gates= 236 |   44.5s | overall 398/1000
23:51:15 | limit= 25 | trial   1 | gates= 234 |   41.1s | overall 399/1000
23:51:17 | limit= 20 | trial 100 | gates= 232 |   42.9s | overall 400/1000
23:51:20 | limit= 25 | trial   3 | gates= 234 |   43.6s | overall 401/1000
23:51:20 | limit= 25 | trial   2 | gates= 238 |   45.2s | overall 402/1000
23:51:20 | limit= 20 | trial  99 | gates= 238 |   47.0s | overall 403/1000
23:51:25 | limit= 25 | trial   8 | gates= 236 |   40.9s | overall 404/1000
23:51:25 | limit= 25 | trial   4 | gates= 234 |   45.3s | overall 405/1000
23:51:27 | limit= 25 | trial   5 | gates= 236 |   44.3s | overall 406/1000
23:51:27 | limit= 25 | trial   6 | gates= 232 |   43.9s | overall 407/1000
23:51:31 | limit= 25 | trial   7 | gates= 236 |   47.3s | overall 408/1000
23:51:32 | limit= 25 | trial   9 | gates= 236 |   47.5s | overall 409/1000
23:51:35 | limit= 25 | trial  10 | gates= 234 |   46.9s | overall 410/1000
23:51:36 | limit= 25 | trial  14 | gates= 236 |   39.8s | overall 411/1000
23:51:38 | limit= 25 | trial  11 | gates= 232 |   47.5s | overall 412/1000
23:51:38 | limit= 25 | trial  12 | gates= 238 |   47.5s | overall 413/1000
23:51:39 | limit= 25 | trial  13 | gates= 236 |   44.9s | overall 414/1000
23:51:40 | limit= 25 | trial  15 | gates= 234 |   43.7s | overall 415/1000
23:51:42 | limit= 25 | trial  16 | gates= 232 |   43.1s | overall 416/1000
23:51:42 | limit= 25 | trial  19 | gates= 238 |   42.0s | overall 417/1000
23:51:43 | limit= 25 | trial  18 | gates= 240 |   42.7s | overall 418/1000
23:51:43 | limit= 25 | trial  21 | gates= 238 |   40.4s | overall 419/1000
23:51:44 | limit= 25 | trial  17 | gates= 234 |   45.0s | overall 420/1000
23:51:44 | limit= 25 | trial  20 | gates= 232 |   43.1s | overall 421/1000
23:51:47 | limit= 25 | trial  22 | gates= 230 |   41.0s | overall 422/1000
23:51:50 | limit= 25 | trial  24 | gates= 238 |   41.2s | overall 423/1000
23:51:51 | limit= 25 | trial  23 | gates= 238 |   44.0s | overall 424/1000
23:51:53 | limit= 25 | trial  25 | gates= 236 |   42.7s | overall 425/1000
23:51:58 | limit= 25 | trial  27 | gates= 232 |   42.5s | overall 426/1000
23:51:59 | limit= 25 | trial  26 | gates= 238 |   46.0s | overall 427/1000
23:52:02 | limit= 25 | trial  29 | gates= 238 |   42.2s | overall 428/1000
23:52:02 | limit= 25 | trial  31 | gates= 234 |   42.6s | overall 429/1000
23:52:03 | limit= 25 | trial  30 | gates= 236 |   43.2s | overall 430/1000
23:52:03 | limit= 25 | trial  28 | gates= 230 |   46.5s | overall 431/1000
23:52:06 | limit= 25 | trial  32 | gates= 230 |   41.4s | overall 432/1000
23:52:08 | limit= 25 | trial  35 | gates= 234 |   40.9s | overall 433/1000
23:52:11 | limit= 25 | trial  34 | gates= 232 |   44.2s | overall 434/1000
23:52:13 | limit= 25 | trial  33 | gates= 240 |   47.4s | overall 435/1000
23:52:18 | limit= 25 | trial  36 | gates= 236 |   47.2s | overall 436/1000
23:52:19 | limit= 25 | trial  39 | gates= 240 |   42.8s | overall 437/1000
23:52:19 | limit= 25 | trial  37 | gates= 232 |   47.5s | overall 438/1000
23:52:21 | limit= 25 | trial  43 | gates= 232 |   40.7s | overall 439/1000
23:52:22 | limit= 25 | trial  38 | gates= 238 |   46.4s | overall 440/1000
23:52:22 | limit= 25 | trial  44 | gates= 236 |   40.2s | overall 441/1000
23:52:23 | limit= 25 | trial  40 | gates= 238 |   44.2s | overall 442/1000
23:52:23 | limit= 25 | trial  42 | gates= 236 |   43.8s | overall 443/1000
23:52:25 | limit= 25 | trial  47 | gates= 236 |   41.4s | overall 444/1000
23:52:26 | limit= 25 | trial  45 | gates= 236 |   43.5s | overall 445/1000
23:52:26 | limit= 25 | trial  41 | gates= 236 |   47.5s | overall 446/1000
23:52:26 | limit= 25 | trial  46 | gates= 234 |   43.6s | overall 447/1000
23:52:26 | limit= 25 | trial  49 | gates= 236 |   42.0s | overall 448/1000
23:52:28 | limit= 25 | trial  48 | gates= 236 |   43.8s | overall 449/1000
23:52:29 | limit= 25 | trial  50 | gates= 234 |   41.4s | overall 450/1000
23:52:32 | limit= 25 | trial  52 | gates= 238 |   41.1s | overall 451/1000
23:52:36 | limit= 25 | trial  51 | gates= 238 |   45.8s | overall 452/1000
23:52:37 | limit= 25 | trial  53 | gates= 238 |   43.7s | overall 453/1000
23:52:37 | limit= 25 | trial  54 | gates= 240 |   39.4s | overall 454/1000
23:52:39 | limit= 25 | trial  55 | gates= 234 |   40.8s | overall 455/1000
23:52:45 | limit= 25 | trial  57 | gates= 236 |   42.3s | overall 456/1000
23:52:45 | limit= 25 | trial  56 | gates= 232 |   43.3s | overall 457/1000
23:52:45 | limit= 25 | trial  58 | gates= 232 |   42.5s | overall 458/1000
23:52:51 | limit= 25 | trial  59 | gates= 234 |   47.3s | overall 459/1000
23:52:51 | limit= 25 | trial  60 | gates= 234 |   44.6s | overall 460/1000
23:52:52 | limit= 25 | trial  61 | gates= 232 |   43.9s | overall 461/1000
23:52:58 | limit= 25 | trial  63 | gates= 236 |   45.1s | overall 462/1000
23:52:58 | limit= 25 | trial  62 | gates= 236 |   47.5s | overall 463/1000
23:53:02 | limit= 25 | trial  67 | gates= 234 |   40.6s | overall 464/1000
23:53:04 | limit= 25 | trial  70 | gates= 232 |   41.5s | overall 465/1000
23:53:04 | limit= 25 | trial  64 | gates= 232 |   45.9s | overall 466/1000
23:53:04 | limit= 25 | trial  65 | gates= 238 |   45.4s | overall 467/1000
23:53:05 | limit= 25 | trial  69 | gates= 238 |   42.7s | overall 468/1000
23:53:07 | limit= 25 | trial  66 | gates= 238 |   47.6s | overall 469/1000
23:53:08 | limit= 25 | trial  68 | gates= 238 |   46.2s | overall 470/1000
23:53:08 | limit= 25 | trial  73 | gates= 232 |   42.8s | overall 471/1000
23:53:08 | limit= 25 | trial  75 | gates= 232 |   42.3s | overall 472/1000
23:53:09 | limit= 25 | trial  72 | gates= 236 |   44.0s | overall 473/1000
23:53:09 | limit= 25 | trial  76 | gates= 236 |   43.0s | overall 474/1000
23:53:10 | limit= 25 | trial  78 | gates= 240 |   41.5s | overall 475/1000
23:53:11 | limit= 25 | trial  71 | gates= 234 |   47.8s | overall 476/1000
23:53:13 | limit= 25 | trial  74 | gates= 236 |   47.4s | overall 477/1000
23:53:14 | limit= 25 | trial  79 | gates= 236 |   41.4s | overall 478/1000
23:53:15 | limit= 25 | trial  77 | gates= 236 |   47.5s | overall 479/1000
23:53:15 | limit= 25 | trial  80 | gates= 240 |   39.4s | overall 480/1000
23:53:18 | limit= 25 | trial  82 | gates= 232 |   41.2s | overall 481/1000
23:53:19 | limit= 25 | trial  81 | gates= 238 |   42.6s | overall 482/1000
23:53:26 | limit= 25 | trial  85 | gates= 234 |   40.6s | overall 483/1000
23:53:26 | limit= 25 | trial  83 | gates= 234 |   46.8s | overall 484/1000
23:53:28 | limit= 25 | trial  86 | gates= 238 |   42.4s | overall 485/1000
23:53:28 | limit= 25 | trial  84 | gates= 236 |   43.5s | overall 486/1000
23:53:33 | limit= 25 | trial  88 | gates= 236 |   41.6s | overall 487/1000
23:53:35 | limit= 25 | trial  87 | gates= 230 |   44.3s | overall 488/1000
23:53:39 | limit= 25 | trial  89 | gates= 238 |   47.6s | overall 489/1000
23:53:40 | limit= 25 | trial  90 | gates= 236 |   41.9s | overall 490/1000
23:53:42 | limit= 25 | trial  92 | gates= 236 |   40.7s | overall 491/1000
23:53:46 | limit= 25 | trial  95 | gates= 234 |   41.1s | overall 492/1000
23:53:46 | limit= 25 | trial  91 | gates= 236 |   47.5s | overall 493/1000
23:53:48 | limit= 25 | trial  93 | gates= 232 |   43.9s | overall 494/1000
23:53:49 | limit= 25 | trial 100 | gates= 234 |   40.4s | overall 495/1000
23:53:50 | limit= 25 | trial  96 | gates= 230 |   45.2s | overall 496/1000
23:53:50 | limit= 25 | trial  97 | gates= 238 |   42.8s | overall 497/1000
23:53:50 | limit= 25 | trial  94 | gates= 236 |   45.7s | overall 498/1000
23:53:51 | limit= 25 | trial  99 | gates= 236 |   43.0s | overall 499/1000
23:53:51 | limit= 30 | trial   3 | gates= 236 |   41.2s | overall 500/1000
23:53:52 | limit= 25 | trial  98 | gates= 234 |   44.3s | overall 501/1000
23:53:57 | limit= 30 | trial   1 | gates= 234 |   44.0s | overall 502/1000
23:53:57 | limit= 30 | trial   4 | gates= 238 |   42.8s | overall 503/1000
23:53:57 | limit= 30 | trial   6 | gates= 234 |   41.5s | overall 504/1000
23:53:57 | limit= 30 | trial   2 | gates= 230 |   47.5s | overall 505/1000
23:54:00 | limit= 30 | trial   8 | gates= 236 |   44.4s | overall 506/1000
23:54:01 | limit= 30 | trial   5 | gates= 228 |   47.5s | overall 507/1000
23:54:01 | limit= 30 | trial   9 | gates= 230 |   42.8s | overall 508/1000
23:54:03 | limit= 30 | trial   7 | gates= 228 |   47.5s | overall 509/1000
23:54:03 | limit= 30 | trial  10 | gates= 230 |   44.2s | overall 510/1000
23:54:07 | limit= 30 | trial  11 | gates= 238 |   40.8s | overall 511/1000
23:54:08 | limit= 30 | trial  12 | gates= 234 |   41.5s | overall 512/1000
23:54:10 | limit= 30 | trial  14 | gates= 234 |   41.6s | overall 513/1000
23:54:10 | limit= 30 | trial  13 | gates= 234 |   42.4s | overall 514/1000
23:54:16 | limit= 30 | trial  16 | gates= 236 |   41.6s | overall 515/1000
23:54:18 | limit= 30 | trial  15 | gates= 232 |   45.2s | overall 516/1000
23:54:23 | limit= 30 | trial  18 | gates= 228 |   43.2s | overall 517/1000
23:54:26 | limit= 30 | trial  19 | gates= 230 |   43.7s | overall 518/1000
23:54:27 | limit= 30 | trial  17 | gates= 236 |   47.6s | overall 519/1000
23:54:29 | limit= 30 | trial  20 | gates= 228 |   43.2s | overall 520/1000
23:54:32 | limit= 30 | trial  24 | gates= 234 |   41.8s | overall 521/1000
23:54:33 | limit= 30 | trial  23 | gates= 238 |   44.4s | overall 522/1000
23:54:33 | limit= 30 | trial  21 | gates= 234 |   47.3s | overall 523/1000
23:54:33 | limit= 30 | trial  25 | gates= 232 |   43.5s | overall 524/1000
23:54:34 | limit= 30 | trial  30 | gates= 234 |   41.2s | overall 525/1000
23:54:34 | limit= 30 | trial  28 | gates= 236 |   42.8s | overall 526/1000
23:54:36 | limit= 30 | trial  22 | gates= 238 |   47.5s | overall 527/1000
23:54:36 | limit= 30 | trial  29 | gates= 236 |   43.5s | overall 528/1000
23:54:37 | limit= 30 | trial  31 | gates= 236 |   43.3s | overall 529/1000
23:54:37 | limit= 30 | trial  32 | gates= 234 |   41.7s | overall 530/1000
23:54:37 | limit= 30 | trial  26 | gates= 232 |   47.4s | overall 531/1000
23:54:39 | limit= 30 | trial  27 | gates= 234 |   47.6s | overall 532/1000
23:54:41 | limit= 30 | trial  34 | gates= 236 |   41.1s | overall 533/1000
23:54:44 | limit= 30 | trial  36 | gates= 232 |   42.8s | overall 534/1000
23:54:45 | limit= 30 | trial  33 | gates= 234 |   47.6s | overall 535/1000
23:54:46 | limit= 30 | trial  38 | gates= 236 |   42.5s | overall 536/1000
23:54:48 | limit= 30 | trial  35 | gates= 232 |   46.9s | overall 537/1000
23:54:49 | limit= 30 | trial  40 | gates= 234 |   41.1s | overall 538/1000
23:54:49 | limit= 30 | trial  39 | gates= 236 |   42.7s | overall 539/1000
23:54:50 | limit= 30 | trial  37 | gates= 230 |   47.5s | overall 540/1000
23:54:51 | limit= 30 | trial  41 | gates= 234 |   40.8s | overall 541/1000
23:54:53 | limit= 30 | trial  42 | gates= 230 |   42.6s | overall 542/1000
23:54:59 | limit= 30 | trial  44 | gates= 234 |   40.8s | overall 543/1000
23:55:00 | limit= 30 | trial  43 | gates= 234 |   43.8s | overall 544/1000
23:55:05 | limit= 30 | trial  45 | gates= 232 |   41.9s | overall 545/1000
23:55:09 | limit= 30 | trial  46 | gates= 236 |   42.7s | overall 546/1000
23:55:11 | limit= 30 | trial  48 | gates= 234 |   42.0s | overall 547/1000
23:55:15 | limit= 30 | trial  47 | gates= 232 |   47.6s | overall 548/1000
23:55:15 | limit= 30 | trial  49 | gates= 238 |   43.4s | overall 549/1000
23:55:15 | limit= 30 | trial  50 | gates= 232 |   42.1s | overall 550/1000
23:55:16 | limit= 30 | trial  53 | gates= 234 |   42.3s | overall 551/1000
23:55:16 | limit= 30 | trial  52 | gates= 232 |   43.1s | overall 552/1000
23:55:18 | limit= 30 | trial  58 | gates= 232 |   40.8s | overall 553/1000
23:55:18 | limit= 30 | trial  56 | gates= 234 |   42.4s | overall 554/1000
23:55:18 | limit= 30 | trial  54 | gates= 234 |   44.2s | overall 555/1000
23:55:21 | limit= 30 | trial  51 | gates= 234 |   47.4s | overall 556/1000
23:55:22 | limit= 30 | trial  57 | gates= 228 |   44.8s | overall 557/1000
23:55:22 | limit= 30 | trial  61 | gates= 234 |   41.3s | overall 558/1000
23:55:23 | limit= 30 | trial  55 | gates= 234 |   47.4s | overall 559/1000
23:55:24 | limit= 30 | trial  60 | gates= 230 |   44.6s | overall 560/1000
23:55:24 | limit= 30 | trial  59 | gates= 232 |   46.5s | overall 561/1000
23:55:25 | limit= 30 | trial  62 | gates= 230 |   41.2s | overall 562/1000
23:55:29 | limit= 30 | trial  64 | gates= 230 |   42.9s | overall 563/1000
23:55:29 | limit= 30 | trial  65 | gates= 232 |   41.4s | overall 564/1000
23:55:31 | limit= 30 | trial  66 | gates= 240 |   42.5s | overall 565/1000
23:55:32 | limit= 30 | trial  63 | gates= 232 |   47.8s | overall 566/1000
23:55:32 | limit= 30 | trial  69 | gates= 228 |   41.9s | overall 567/1000
23:55:35 | limit= 30 | trial  67 | gates= 234 |   45.5s | overall 568/1000
23:55:38 | limit= 30 | trial  68 | gates= 228 |   47.4s | overall 569/1000
23:55:38 | limit= 30 | trial  70 | gates= 232 |   45.1s | overall 570/1000
23:55:42 | limit= 30 | trial  71 | gates= 238 |   43.2s | overall 571/1000
23:55:46 | limit= 30 | trial  72 | gates= 238 |   46.0s | overall 572/1000
23:55:47 | limit= 30 | trial  73 | gates= 238 |   42.1s | overall 573/1000
23:55:51 | limit= 30 | trial  74 | gates= 236 |   42.7s | overall 574/1000
23:55:53 | limit= 30 | trial  75 | gates= 232 |   42.0s | overall 575/1000
23:55:57 | limit= 30 | trial  80 | gates= 232 |   40.5s | overall 576/1000
23:55:57 | limit= 30 | trial  79 | gates= 234 |   41.3s | overall 577/1000
23:55:58 | limit= 30 | trial  77 | gates= 228 |   42.8s | overall 578/1000
23:56:00 | limit= 30 | trial  83 | gates= 234 |   41.8s | overall 579/1000
23:56:01 | limit= 30 | trial  78 | gates= 230 |   45.8s | overall 580/1000
23:56:01 | limit= 30 | trial  82 | gates= 238 |   43.1s | overall 581/1000
23:56:02 | limit= 30 | trial  76 | gates= 234 |   47.6s | overall 582/1000
23:56:04 | limit= 30 | trial  88 | gates= 228 |   40.2s | overall 583/1000
23:56:04 | limit= 30 | trial  85 | gates= 234 |   42.6s | overall 584/1000
23:56:04 | limit= 30 | trial  81 | gates= 238 |   46.6s | overall 585/1000
23:56:05 | limit= 30 | trial  89 | gates= 236 |   41.3s | overall 586/1000
23:56:06 | limit= 30 | trial  86 | gates= 232 |   43.8s | overall 587/1000
23:56:07 | limit= 30 | trial  87 | gates= 234 |   44.1s | overall 588/1000
23:56:07 | limit= 30 | trial  90 | gates= 234 |   41.9s | overall 589/1000
23:56:08 | limit= 30 | trial  84 | gates= 236 |   47.4s | overall 590/1000
23:56:10 | limit= 30 | trial  92 | gates= 234 |   40.9s | overall 591/1000
23:56:12 | limit= 30 | trial  91 | gates= 234 |   42.9s | overall 592/1000
23:56:14 | limit= 30 | trial  93 | gates= 238 |   42.9s | overall 593/1000
23:56:15 | limit= 30 | trial  95 | gates= 234 |   42.6s | overall 594/1000
23:56:17 | limit= 30 | trial  96 | gates= 238 |   42.4s | overall 595/1000
23:56:18 | limit= 30 | trial  94 | gates= 232 |   45.7s | overall 596/1000
23:56:21 | limit= 30 | trial  97 | gates= 236 |   42.9s | overall 597/1000
23:56:23 | limit= 30 | trial  98 | gates= 232 |   45.5s | overall 598/1000
23:56:29 | limit= 40 | trial   1 | gates= 232 |   42.3s | overall 599/1000
23:56:29 | limit= 30 | trial  99 | gates= 232 |   47.6s | overall 600/1000
23:56:33 | limit= 30 | trial 100 | gates= 230 |   47.2s | overall 601/1000
23:56:38 | limit= 40 | trial   3 | gates= 236 |   41.1s | overall 602/1000
23:56:38 | limit= 40 | trial   2 | gates= 230 |   43.5s | overall 603/1000
23:56:38 | limit= 40 | trial   5 | gates= 230 |   39.4s | overall 604/1000
23:56:41 | limit= 40 | trial   4 | gates= 232 |   44.4s | overall 605/1000
23:56:41 | limit= 40 | trial   6 | gates= 234 |   43.4s | overall 606/1000
23:56:43 | limit= 40 | trial   7 | gates= 230 |   42.4s | overall 607/1000
23:56:45 | limit= 40 | trial  12 | gates= 234 |   41.1s | overall 608/1000
23:56:46 | limit= 40 | trial   8 | gates= 236 |   45.2s | overall 609/1000
23:56:47 | limit= 40 | trial  14 | gates= 234 |   42.0s | overall 610/1000
23:56:47 | limit= 40 | trial  17 | gates= 232 |   40.2s | overall 611/1000
23:56:48 | limit= 40 | trial  11 | gates= 236 |   43.8s | overall 612/1000
23:56:49 | limit= 40 | trial   9 | gates= 232 |   47.4s | overall 613/1000
23:56:50 | limit= 40 | trial  10 | gates= 232 |   47.5s | overall 614/1000
23:56:52 | limit= 40 | trial  13 | gates= 230 |   47.2s | overall 615/1000
23:56:53 | limit= 40 | trial  20 | gates= 240 |   41.5s | overall 616/1000
23:56:53 | limit= 40 | trial  19 | gates= 234 |   43.1s | overall 617/1000
23:56:53 | limit= 40 | trial  15 | gates= 236 |   47.4s | overall 618/1000
23:56:55 | limit= 40 | trial  16 | gates= 230 |   47.5s | overall 619/1000
23:56:56 | limit= 40 | trial  18 | gates= 232 |   47.4s | overall 620/1000
23:56:57 | limit= 40 | trial  21 | gates= 232 |   42.6s | overall 621/1000
23:56:59 | limit= 40 | trial  22 | gates= 232 |   43.6s | overall 622/1000
23:56:59 | limit= 40 | trial  23 | gates= 230 |   41.6s | overall 623/1000
23:57:02 | limit= 40 | trial  24 | gates= 234 |   43.9s | overall 624/1000
23:57:02 | limit= 40 | trial  25 | gates= 228 |   41.5s | overall 625/1000
23:57:05 | limit= 40 | trial  26 | gates= 234 |   41.7s | overall 626/1000
23:57:10 | limit= 40 | trial  27 | gates= 236 |   41.0s | overall 627/1000
23:57:14 | limit= 40 | trial  30 | gates= 234 |   39.7s | overall 628/1000
23:57:16 | limit= 40 | trial  31 | gates= 230 |   41.5s | overall 629/1000
23:57:17 | limit= 40 | trial  28 | gates= 232 |   47.5s | overall 630/1000
23:57:18 | limit= 40 | trial  32 | gates= 232 |   41.5s | overall 631/1000
23:57:19 | limit= 40 | trial  29 | gates= 234 |   46.0s | overall 632/1000
23:57:25 | limit= 40 | trial  34 | gates= 230 |   44.1s | overall 633/1000
23:57:27 | limit= 40 | trial  38 | gates= 232 |   39.7s | overall 634/1000
23:57:27 | limit= 40 | trial  37 | gates= 232 |   40.9s | overall 635/1000
23:57:28 | limit= 40 | trial  35 | gates= 234 |   45.7s | overall 636/1000
23:57:28 | limit= 40 | trial  33 | gates= 234 |   47.2s | overall 637/1000
23:57:29 | limit= 40 | trial  39 | gates= 226 |   42.0s | overall 638/1000
23:57:30 | limit= 40 | trial  41 | gates= 234 |   41.2s | overall 639/1000
23:57:31 | limit= 40 | trial  40 | gates= 232 |   43.6s | overall 640/1000
23:57:32 | limit= 40 | trial  36 | gates= 230 |   46.5s | overall 641/1000
23:57:33 | limit= 40 | trial  45 | gates= 228 |   40.1s | overall 642/1000
23:57:36 | limit= 40 | trial  44 | gates= 236 |   43.1s | overall 643/1000
23:57:37 | limit= 40 | trial  42 | gates= 232 |   47.5s | overall 644/1000
23:57:39 | limit= 40 | trial  43 | gates= 236 |   47.4s | overall 645/1000
23:57:39 | limit= 40 | trial  51 | gates= 236 |   40.3s | overall 646/1000
23:57:41 | limit= 40 | trial  49 | gates= 228 |   43.7s | overall 647/1000
23:57:41 | limit= 40 | trial  46 | gates= 232 |   47.3s | overall 648/1000
23:57:41 | limit= 40 | trial  50 | gates= 232 |   42.2s | overall 649/1000
23:57:42 | limit= 40 | trial  47 | gates= 230 |   47.3s | overall 650/1000
23:57:43 | limit= 40 | trial  48 | gates= 236 |   47.3s | overall 651/1000
23:57:45 | limit= 40 | trial  52 | gates= 234 |   42.8s | overall 652/1000
23:57:47 | limit= 40 | trial  54 | gates= 230 |   41.7s | overall 653/1000
23:57:47 | limit= 40 | trial  53 | gates= 238 |   44.9s | overall 654/1000
23:57:51 | limit= 40 | trial  55 | gates= 238 |   41.0s | overall 655/1000
23:57:55 | limit= 40 | trial  56 | gates= 230 |   41.5s | overall 656/1000
23:57:59 | limit= 40 | trial  57 | gates= 230 |   42.5s | overall 657/1000
23:58:02 | limit= 40 | trial  60 | gates= 230 |   42.2s | overall 658/1000
23:58:03 | limit= 40 | trial  59 | gates= 226 |   44.5s | overall 659/1000
23:58:04 | limit= 40 | trial  58 | gates= 228 |   47.5s | overall 660/1000
23:58:06 | limit= 40 | trial  61 | gates= 232 |   41.0s | overall 661/1000
23:58:09 | limit= 40 | trial  62 | gates= 230 |   42.3s | overall 662/1000
23:58:09 | limit= 40 | trial  65 | gates= 230 |   40.9s | overall 663/1000
23:58:10 | limit= 40 | trial  67 | gates= 232 |   40.4s | overall 664/1000
23:58:12 | limit= 40 | trial  63 | gates= 232 |   44.6s | overall 665/1000
23:58:13 | limit= 40 | trial  70 | gates= 232 |   39.4s | overall 666/1000
23:58:13 | limit= 40 | trial  68 | gates= 232 |   41.8s | overall 667/1000
23:58:14 | limit= 40 | trial  69 | gates= 232 |   42.1s | overall 668/1000
23:58:14 | limit= 40 | trial  66 | gates= 226 |   45.1s | overall 669/1000
23:58:15 | limit= 40 | trial  64 | gates= 236 |   46.7s | overall 670/1000
23:58:18 | limit= 40 | trial  71 | gates= 236 |   41.7s | overall 671/1000
23:58:22 | limit= 40 | trial  74 | gates= 234 |   43.3s | overall 672/1000
23:58:23 | limit= 40 | trial  78 | gates= 228 |   41.2s | overall 673/1000
23:58:24 | limit= 40 | trial  75 | gates= 228 |   43.2s | overall 674/1000
23:58:24 | limit= 40 | trial  73 | gates= 236 |   45.0s | overall 675/1000
23:58:24 | limit= 40 | trial  77 | gates= 234 |   43.5s | overall 676/1000
23:58:25 | limit= 40 | trial  72 | gates= 226 |   47.7s | overall 677/1000
23:58:27 | limit= 40 | trial  81 | gates= 234 |   40.2s | overall 678/1000
23:58:28 | limit= 40 | trial  79 | gates= 234 |   45.2s | overall 679/1000
